country,code,forest_area,rural_pop,access_electricity,pop_growth,GDP_growth,working_age_pop,life_expectancy
Virgin Islands (U.S.),VIR,56.8857143,4.061,100,,-1.5670348,61.0911716,79.8195122
Viet Nam,VNM,46.7190018,62.66,99.8,,1.93735659,68.8794569,75.378
Vanuatu,VUT,36.2838392,74.475,67.299057,,-7.2118785,56.5293485,70.299
World,WLD,31.1769046,43.9382459,90.4827031,,-4.03007,64.8754895,72.2434659
Samoa,WSM,58.1546763,82.111,100,,-4.4716852,57.060571,72.768
Kosovo,XKX,,,,,-5.4066378,67.6721144,76.567
"Yemen, Rep.",YEM,1.03983181,62.092,73.8534622,,,57.092707,64.65
South Africa,ZAF,14.0550907,32.646,90,,-7.1065888,65.259793,65.252
Zambia,ZMB,60.2833371,55.371,44.6040688,,-5.5957331,54.5897669,62.38
Zimbabwe,ZWE,45.0939124,67.758,52.7476675,,-9.6704047,55.4676532,61.124
